Start,1
"[0, 12, 15, 19, 24]",ȥ
"[-9, 3, 19, 24]",Ȧ
"[0, 12, 19, 24, 27]",ȧ
"[-9, 3, 19, 27, 31]",Ȩ
"[-7, 5, 19, 27, 31]",ȩ
"[-5, 7, 19, 24, 27]",Ȫ
"[2, 14, 19, 23, 26]",ȫ
"[3, 15, 19, 24]",Ȭ
"[5, 17, 19, 23]",ȭ
"[2, 14, 19, 26]",Ȯ
"[2, 14, 17, 19, 24]",ȯ
"[-5, 7, 14, 23, 26]",Ȱ
"[-2, 10, 22, 26, 29]",ȱ
"[3, 15, 22, 27, 31]",Ȳ
"[5, 17, 20, 26, 29]",ȳ
"[7, 19, 24, 27]",ȴ
"[-4, 8, 15, 20, 24]",ȵ
"[-9, 3, 15, 19, 22]",ȶ
"[-5, 7, 15, 20, 24]",ȷ
"[-7, 5, 17, 20, 26]",ȸ
"[-9, 3, 19, 22, 27]",ȹ
"[-2, 10, 22, 26, 31]",Ⱥ
"[-2, 10, 20, 26, 29]",Ȼ
"[-2, 10, 14, 22, 29]",ȼ
"[3, 15, 22, 31]",Ƚ
"[3, 15, 19, 22, 31]",Ⱦ
"[2, 14, 19, 26, 34]",ȿ
"[2, 14, 18, 24, 33]",ɀ
"[-5, 7, 19, 22, 31]",Ɂ
"[-4, 8, 15, 24, 36]",ɂ
"[8, 20, 27, 36]",Ƀ
"[8, 20, 26, 36]",Ʉ
"[7, 19, 22, 27, 34]",Ʌ
"[-4, 8, 24, 29]",Ɇ
"[5, 17, 20, 24]",ɇ
"[2, 14, 17, 23, 26]",Ɉ
"[-5, 7, 14, 15, 23, 26]",ɉ
"[-5, 7, 15, 23, 26]",Ɋ
7,ɋ
"[-7, 5, 17, 20, 24]",Ɍ
6.333333333,ɍ
25/3,Ɏ
"[0, 12]",ɏ
"[5, 17]",ɐ
"[5, 12, 16, 19]",ɑ
"[5, 12, 19, 22]",ɒ
"[5, 17, 22, 26]",ɓ
"[0, 12, 21, 24]",ɔ
"[0, 12, 19, 22]",ɕ
"[0, 12, 17, 21]",ɖ
"[-2, 17, 22, 26]",ɗ
"[0, 17, 21, 24]",ɘ
"[0, 10, 16, 19]",ə
"[5, 9, 17]",ɚ
"[0, 2, 7, 17]",ɛ
"[-12, 0, 7, 16]",ɜ
"[-10, -1, 7, 14]",ɝ
"[-5, 2, 7, 17]",ɞ
"[-7, -1, 7, 14]",ɟ
"[-10, -1, 7, 17]",ɠ
"[-12, 0, 4, 7]",ɡ
"[-8, 0, 7]",ɢ
"[-5, -1, 5, 9]",ɣ
"[-5, 5, 11]",ɤ
"[-12, -5, 4, 12]",ɥ
"[0, 10, 16]",ɦ
"[-7, 2, 9, 17]",ɧ
"[-5, 4, 7, 12]",ɨ
"[-10, -3, 6, 16]",ɩ
"[-10, -3, 6, 14]",ɪ
"[-6, 2, 9]",ɫ
"[-6, 0, 9]",ɬ
"[-5, -1, 5, 7]",ɭ
"[7, 19, 28, 36]",ɮ
"[7, 19, 29, 38]",ɯ
"[11, 23, 26, 31, 38]",ɰ
"[12, 24, 28, 31, 36]",ɱ
"[14, 26, 31, 35]",ɲ
"[2, 14, 24, 30, 33]",ɳ
"[7, 19, 23, 31]",ɴ
"[2, 14, 21, 29, 41]",ɵ
"[2, 14, 26, 33, 41]",ɶ
"[4, 16, 26, 33, 40]",ɷ
"[5, 17, 26, 33, 38]",ɸ
"[5, 17, 26, 33, 36]",ɹ
"[7, 19, 28, 31, 36]",ɺ
"[7, 19, 26, 31, 35]",ɻ
"[5, 17, 23, 26, 33]",ɼ
3.5,ɽ
"[17, 21]",ɾ
3.333333333,ɿ
"[-12, 4, 7, 12]",ʀ
"[-5, 5, 7]",ʁ
"[-5, 5, 7, 9]",ʂ
"[-5, 5, 7, 11]",ʃ
2.5,ʄ
"[-7, 5, 9, 12]",ʅ
"[-7, 0, 9]",ʆ
"[-5, 2, 11, 14]",ʇ
"[-10, 2, 9, 12]",ʈ
"[-10, 0, 6, 9]",ʉ
"[-7, 9, 14, 17]",ʊ
"[0, 5, 7, 14]",ʋ
"[0, 5, 12, 17]",ʌ
"[-8, 7, 12, 19]",ʍ
"[-12, 4, 12]",ʎ
"[0, 12, 24, 29, 33]",ʏ
"[7, 19, 24, 29, 33]",ʐ
"[7, 19, 26, 29, 35]",ʑ
